method,test_loss,test_acc,n_models_used,hyperparams
best_single,1.0800015647888184,0.6423999994277955,1,best_idx=3
uniform_soup,2.462059108734131,0.15230000002384186,5,
greedy_soup,1.0820685466766358,0.6438999998092652,1,included=3
ties,2.373509352874756,0.15389999985694885,5,"keep_ratio=0.2,lam=1.0"
