epoch,train_loss,train_acc,test_loss,test_acc,lr,seconds
1,2.596861449050903,0.2286,2.718804932785034,0.18639999983310698,0.09972609476841367,3.1878602504730225
2,1.8080019248962402,0.331,2.1183040271759035,0.2850000001192093,0.09890738003669028,3.100665807723999
3,1.672637405204773,0.3846,2.1705432708740235,0.2962999998569488,0.09755282581475767,3.0518548488616943
4,1.5929439027786254,0.4112,1.7949240598678589,0.32770000019073486,0.09567727288213003,3.080662250518799
5,1.555395881652832,0.425,1.9223632009506226,0.3262999997615814,0.09330127018922194,3.0078318119049072
6,1.5055836322784424,0.441,1.9127138584136962,0.35740000023841856,0.09045084971874737,3.000718832015991
7,1.4366743532180786,0.4768,1.5492501472473144,0.4226999997615814,0.0871572412738697,3.0205612182617188
8,1.370353844642639,0.4952,1.8464769170761108,0.3610000004291534,0.0834565303179429,3.066558837890625
9,1.348744486618042,0.5084,1.7772569566726684,0.39719999990463256,0.07938926261462365,3.0322511196136475
10,1.2934723306655884,0.534,1.6675377086639405,0.40880000019073487,0.07499999999999998,3.1713624000549316
11,1.2782373481750489,0.5294,1.4144102401733398,0.49889999995231626,0.07033683215379001,3.1401166915893555
12,1.181143946647644,0.5722,1.5126978012084962,0.4836,0.06545084971874737,3.0454251766204834
13,1.167124661254883,0.5784,1.6050618316650391,0.4780999997138977,0.06039558454088796,2.9815659523010254
14,1.1313308761596679,0.5954,1.6773463859558106,0.47419999976158145,0.05522642316338268,3.01583194732666
15,1.0854415905952453,0.6102,1.331196536064148,0.5414999994277954,0.05000000000000001,3.0570027828216553
16,1.0310564292907716,0.6268,1.5699838159561157,0.4841,0.04477357683661733,3.0563409328460693
17,1.0126025470733642,0.6342,1.3329251560211182,0.549200000333786,0.03960441545911203,2.9908692836761475
18,0.9558710418701172,0.6568,1.5124018264770507,0.5186000003337861,0.03454915028125263,3.0140292644500732
19,0.9327727813720703,0.6676,1.3624204940795899,0.5580999994277954,0.02966316784621,3.014915704727173
20,0.9101471237182617,0.6692,1.1666240245819093,0.5956999996185303,0.025000000000000012,2.9898159503936768
21,0.8840305881500244,0.6788,1.2035918323516845,0.5946000000953674,0.02061073738537635,2.9498040676116943
22,0.8279731590270996,0.702,1.1527799089431763,0.6099999994277954,0.016543469682057107,2.9728291034698486
23,0.8059772026062012,0.7198,1.1683310415267945,0.6062000005722046,0.012842758726130301,3.0455245971679688
24,0.793962253856659,0.7204,1.101314937210083,0.6293999999046326,0.009549150281252635,3.0124499797821045
25,0.7603474099159241,0.7278,1.1339895990371704,0.6223999996185303,0.006698729810778067,3.0450243949890137
26,0.7464056198120117,0.7334,1.0913216566085815,0.6397000008583069,0.004322727117869953,2.967022180557251
27,0.7139387084960938,0.749,1.088401180267334,0.6377999996185303,0.002447174185242324,3.0425665378570557
28,0.709706315612793,0.7518,1.0892927661895753,0.636800000667572,0.0010926199633097158,3.0097053050994873
29,0.6968190139770508,0.7514,1.078665520477295,0.6423000007629395,0.00027390523158633,2.997201442718506
30,0.6859923828125,0.7582,1.077858546447754,0.6415999994277954,0.0,3.0191550254821777
