step,candidate_orig_idx,candidate_acc_alone,soup_acc_after,included,n_in_soup
0,3,0.6415999994277954,0.6453999995231628,True,1
1,2,0.6165999997138977,0.6453999995231628,False,1
2,1,0.5991999995231628,0.6453999995231628,False,1
3,0,0.5942999997138977,0.6453999995231628,False,1
4,4,0.5912999999046326,0.6453999995231628,False,1
