pair,alignment,alpha,train_loss,train_acc,test_loss,test_acc
e5_5k_m0xm2,pre,0.0,1.114066897583008,0.6098000011444091,1.1663768272399901,0.5965999998092651
e5_5k_m0xm2,pre,0.1,1.1906749172210693,0.5803999974250793,1.2316687999725342,0.571500000667572
e5_5k_m0xm2,pre,0.2,1.389038707923889,0.5111999985694885,1.405552942466736,0.5084000002384186
e5_5k_m0xm2,pre,0.3,1.6429165796279908,0.4221999997615814,1.629133427619934,0.42529999995231627
e5_5k_m0xm2,pre,0.4,1.9408692272186279,0.330399999332428,1.9173504428863526,0.33049999980926514
e5_5k_m0xm2,pre,0.5,2.14766029548645,0.2800000000476837,2.1411310638427734,0.2764000002861023
e5_5k_m0xm2,pre,0.6,1.94221748046875,0.33339999957084654,1.934110662651062,0.3258000003814697
e5_5k_m0xm2,pre,0.7,1.6352001731872559,0.43519999904632567,1.6378070976257324,0.42890000014305113
e5_5k_m0xm2,pre,0.8,1.3182146198272706,0.536599999332428,1.340245707321167,0.5365000001907348
e5_5k_m0xm2,pre,0.9,1.1296177747726441,0.6072000007629395,1.159444757270813,0.5980000005722046
e5_5k_m0xm2,pre,1.0,1.088814554786682,0.6319999997138978,1.1225353464126586,0.612399999332428
e5_5k_m0xm2,post,0.0,1.1152838422775269,0.6108000009536744,1.1678956895828247,0.5960999996185302
e5_5k_m0xm2,post,0.1,1.1797599475860596,0.591599997138977,1.212553564453125,0.5803999996185303
e5_5k_m0xm2,post,0.2,1.3592766988754272,0.5323999997138977,1.3675236684799195,0.5271999998092651
e5_5k_m0xm2,post,0.3,1.639052453994751,0.45420000023841856,1.62931866607666,0.4486999997138977
e5_5k_m0xm2,post,0.4,1.9157204599380493,0.3847999999046326,1.8898631357192994,0.3807
e5_5k_m0xm2,post,0.5,2.0560791425704954,0.34860000009536746,2.0296626155853272,0.3426000000476837
e5_5k_m0xm2,post,0.6,1.8711816051483154,0.38480000042915347,1.861434168434143,0.3818000000476837
e5_5k_m0xm2,post,0.7,1.5898360818862916,0.46179999890327456,1.608360190963745,0.451000000333786
e5_5k_m0xm2,post,0.8,1.3292104148864745,0.5425999973297119,1.369552206993103,0.5290999999523163
e5_5k_m0xm2,post,0.9,1.1364930503845214,0.6036000009536743,1.1775173330307007,0.5945000005722045
e5_5k_m0xm2,post,1.0,1.0817158727645875,0.6325999999046326,1.1186198064804078,0.6127999994277954
e5_5k_m0xm1,pre,0.0,1.1175553003311158,0.6086000011444092,1.1696707973480225,0.5940999998092651
e5_5k_m0xm1,pre,0.1,1.188230626487732,0.5791999974250793,1.2247501544952393,0.5743000007629394
e5_5k_m0xm1,pre,0.2,1.416720192527771,0.5071999987125396,1.4249257360458374,0.5039999999046326
e5_5k_m0xm1,pre,0.3,1.701155761528015,0.4052000004768372,1.6771657287597657,0.4129999997138977
e5_5k_m0xm1,pre,0.4,2.1511846965789796,0.26139999866485597,2.1044237144470217,0.2735999997138977
e5_5k_m0xm1,pre,0.5,2.422364144897461,0.18699999957084656,2.4155899318695067,0.19409999997615815
e5_5k_m0xm1,pre,0.6,2.1796057529449464,0.26060000052452087,2.2250881244659424,0.24940000021457673
e5_5k_m0xm1,pre,0.7,1.6964366449356079,0.4108,1.7280428470611573,0.3962
e5_5k_m0xm1,pre,0.8,1.3199340349197388,0.533199998664856,1.350054166984558,0.5172999998569489
e5_5k_m0xm1,pre,0.9,1.1495431547164916,0.5899999969482422,1.1803962039947509,0.5801000008583069
e5_5k_m0xm1,pre,1.0,1.1094740106582641,0.6016000012397766,1.1449263177871705,0.5974999994277954
e5_5k_m0xm1,post,0.0,1.1167792448043823,0.6102000011444092,1.1695382635116578,0.5950999997138977
e5_5k_m0xm1,post,0.1,1.2085745567321777,0.5777999975204468,1.2472366329193114,0.5640000002861023
e5_5k_m0xm1,post,0.2,1.48240129070282,0.4975999997138977,1.4956194911956786,0.4895
e5_5k_m0xm1,post,0.3,1.771001598930359,0.4249999991893768,1.773728442955017,0.41839999990463256
e5_5k_m0xm1,post,0.4,1.9900975555419922,0.3641999994277954,2.0003717987060545,0.3611000003814697
e5_5k_m0xm1,post,0.5,2.069237020111084,0.35399999971389773,2.0725700138092042,0.34629999990463256
e5_5k_m0xm1,post,0.6,1.9552495616912842,0.3675999988555908,1.9574044376373292,0.36540000014305113
e5_5k_m0xm1,post,0.7,1.7242036359786987,0.42499999890327456,1.726575032043457,0.4270000000953674
e5_5k_m0xm1,post,0.8,1.4225073345184327,0.5139999987602234,1.447290778541565,0.509
e5_5k_m0xm1,post,0.9,1.1786499731063842,0.5791999968528747,1.217925237083435,0.5757999994277954
e5_5k_m0xm1,post,1.0,1.1110015668869018,0.6012000013351441,1.1473939071655272,0.5976999994277954
