epoch,train_loss,train_acc,test_loss,test_acc,lr,seconds
1,2.6510484115600588,0.19,3.643357187652588,0.21929999995231628,0.09972609476841367,3.2312917709350586
2,1.9366246656417847,0.2746,2.0401589805603026,0.263,0.09890738003669028,3.046250581741333
3,1.8311232387542724,0.3148,1.9650673656463622,0.27070000004768374,0.09755282581475767,3.0754659175872803
4,1.7183493196487427,0.3516,1.8253461978912353,0.30930000042915345,0.09567727288213003,3.0360898971557617
5,1.6857235836029052,0.3646,2.102757321166992,0.29830000014305114,0.09330127018922194,3.068434476852417
6,1.6991626518249512,0.3554,2.0971007652282716,0.2874000002861023,0.09045084971874737,3.07694149017334
7,1.5980081733703613,0.397,1.7808603954315185,0.36089999976158144,0.0871572412738697,3.080352783203125
8,1.5380767539978026,0.42,2.197632849121094,0.29390000009536743,0.0834565303179429,3.1119260787963867
9,1.562292762565613,0.418,1.9081761726379394,0.370499999666214,0.07938926261462365,3.027726411819458
10,1.5065071605682374,0.4434,1.805164575958252,0.368699999666214,0.07499999999999998,3.2816762924194336
11,1.4297233682632446,0.4674,1.5899942838668824,0.447499999666214,0.07033683215379001,3.096679925918579
12,1.384257162475586,0.4944,1.5236054388046265,0.4489999999046326,0.06545084971874737,3.154367208480835
13,1.355894154548645,0.504,1.8591116762161255,0.4015999997615814,0.06039558454088796,3.071978807449341
14,1.336481544303894,0.516,1.4325416341781616,0.4875999999523163,0.05522642316338268,3.0560977458953857
15,1.269362866973877,0.5374,2.013482611274719,0.34590000004768373,0.05000000000000001,3.058762788772583
16,1.3207093627929687,0.5086,1.8549162914276123,0.3986000000476837,0.04477357683661733,3.042449712753296
17,1.2305173278808594,0.562,1.446484776687622,0.5013000002384186,0.03960441545911203,3.0436716079711914
18,1.1779410718917847,0.581,2.0966079288482664,0.4007000002861023,0.03454915028125263,3.081409215927124
19,1.1917509187698365,0.57,1.5143483335494996,0.4774000002861023,0.02966316784621,3.064878225326538
20,1.142611576461792,0.5898,1.8144417066574097,0.41620000042915345,0.025000000000000012,3.0177524089813232
21,1.1957880304336548,0.57,1.463801807975769,0.4918000003814697,0.02061073738537635,3.0773088932037354
22,1.1097713817596435,0.5986,1.3794332382202148,0.5326000000476837,0.016543469682057107,3.0148327350616455
23,1.0737399333953856,0.6148,1.247468858909607,0.5612000007629394,0.012842758726130301,3.031374931335449
24,1.047274729156494,0.624,1.2272424997329712,0.5670999997138977,0.009549150281252635,3.1270840167999268
25,1.0145942909240722,0.6352,1.1718232879638673,0.5881000003814697,0.006698729810778067,3.0815441608428955
26,1.0022457195281982,0.6386,1.1657044849395752,0.590599999332428,0.004322727117869953,3.083714485168457
27,0.9886700494766235,0.6442,1.1600288871765136,0.5940999999046326,0.002447174185242324,3.0482566356658936
28,0.9743337265014649,0.6506,1.1550179832458496,0.5952999995231628,0.0010926199633097158,3.0597586631774902
29,0.9568792957305908,0.6566,1.1473177419662475,0.595899999332428,0.00027390523158633,3.1025192737579346
30,0.9472620146751404,0.658,1.1467909837722778,0.5991999995231628,0.0,3.035062074661255
