pair,test_acc_pre_repair,test_loss_pre_repair,test_acc_post_repair,test_loss_post_repair,delta_pp,repair_epochs,repair_lr
e5_2k_m0xm2,0.27969999992847444,2.2092651336669924,0.44959999976158144,1.49766157207489,16.9899999833107,2,0.001
e5_2k_m0xm1,0.22590000021457673,2.438590700149536,0.45459999995231626,1.4927692205429077,22.869999973773954,2,0.001
