method,test_loss,test_acc,n_models_used,hyperparams
best_single,1.5002684947967528,0.4850999997615814,1,best_idx=3
uniform_soup,2.43742413482666,0.137800000166893,5,
greedy_soup,1.5101634984970094,0.484299999666214,1,included=3
ties,2.9839677711486816,0.07880000007152557,5,"keep_ratio=0.2,lam=1.0"
