pair,barrier_test_loss_pre,barrier_test_loss_post,barrier_test_acc_pre,barrier_test_acc_post,midpoint_acc_pre,midpoint_acc_post,n_perms_moved
e5_1k_m0xm2,0.7418347435951231,0.7205222707748413,0.2073000001192093,0.16294999992847436,0.20199999990463258,0.2453999999523163,12
e5_1k_m0xm1,0.7234155080795288,0.4670219084739686,0.21040000038146972,0.15319999995231626,0.19819999985694886,0.25740000042915345,12
