pair,test_acc_pre_repair,test_loss_pre_repair,test_acc_post_repair,test_loss_post_repair,delta_pp,repair_epochs,repair_lr
e5_1k_m0xm2,0.24619999995231628,2.4075538501739504,0.4313000001907349,1.5441875360488893,18.51000002384186,2,0.001
e5_1k_m0xm1,0.256100000333786,2.2774876346588133,0.44020000033378603,1.5236496326446534,18.410000000000004,2,0.001
