method,test_loss,test_acc,n_models_used,hyperparams
best_single,1.7649200952529907,0.40830000019073487,1,best_idx=0
uniform_soup,2.687633838272095,0.10100000009536743,5,
greedy_soup,1.766152135848999,0.40620000038146975,1,included=0
ties,2.6647918575286864,0.12640000007152558,5,"keep_ratio=0.2,lam=1.0"
