pair,alignment,alpha,train_loss,train_acc,test_loss,test_acc
e5_1k_m0xm2,pre,0.0,1.7465194213867188,0.4091999984741211,1.7566064458847046,0.4088000002861023
e5_1k_m0xm2,pre,0.1,1.8180827474594117,0.39299999866485597,1.8057980331420898,0.3973000004291534
e5_1k_m0xm2,pre,0.2,1.9621001773834228,0.3623999985218048,1.9415095878601074,0.3637000003814697
e5_1k_m0xm2,pre,0.3,2.157614337539673,0.3034000005245209,2.148253317260742,0.3016000002861023
e5_1k_m0xm2,pre,0.4,2.2448821743011473,0.2439999992132187,2.240926029205322,0.2477999998807907
e5_1k_m0xm2,pre,0.5,2.3001282024383545,0.20719999940395356,2.300536619567871,0.20199999990463258
e5_1k_m0xm2,pre,0.6,2.4784747631073,0.19919999978542327,2.474158876419067,0.19839999997615815
e5_1k_m0xm2,pre,0.7,2.446371255493164,0.24359999980926514,2.4355034549713133,0.24609999985694886
e5_1k_m0xm2,pre,0.8,1.9958104999542237,0.3295999985218048,1.9823407297134399,0.33470000038146974
e5_1k_m0xm2,pre,0.9,1.7728915140151977,0.37819999895095824,1.7629059129714966,0.382600000333786
e5_1k_m0xm2,pre,1.0,1.7114453386306763,0.405800000333786,1.7080418197631837,0.4025999999046326
e5_1k_m0xm2,post,0.0,1.7553918218612672,0.4113999983787537,1.7642226148605347,0.4101000002861023
e5_1k_m0xm2,post,0.1,1.8058096651077271,0.39199999933242796,1.8063666864395143,0.3948999997138977
e5_1k_m0xm2,post,0.2,1.9600307331085205,0.3574000002861023,1.9508053230285645,0.351899999666214
e5_1k_m0xm2,post,0.3,2.278061979675293,0.2761999987602234,2.2716076290130616,0.273499999833107
e5_1k_m0xm2,post,0.4,2.464136001968384,0.2525999990463257,2.4579945224761963,0.24330000016689302
e5_1k_m0xm2,post,0.5,2.3970188407897948,0.24919999933242798,2.398072452545166,0.2453999999523163
e5_1k_m0xm2,post,0.6,2.2511311958312987,0.2751999994277954,2.250888637924194,0.27460000009536745
e5_1k_m0xm2,post,0.7,2.1011857975006105,0.3013999999523163,2.0886044952392577,0.316000000333786
e5_1k_m0xm2,post,0.8,1.9234656902313232,0.3455999984264374,1.9079452896118163,0.3539
e5_1k_m0xm2,post,0.9,1.771307468032837,0.3879999985694885,1.7601428451538086,0.38759999976158144
e5_1k_m0xm2,post,1.0,1.714917045211792,0.40799999985694885,1.7107218885421753,0.40239999990463254
e5_1k_m0xm1,pre,0.0,1.7505261756896973,0.41159999866485597,1.759619998550415,0.4081000001907349
e5_1k_m0xm1,pre,0.1,1.7495243141174317,0.39539999904632567,1.7608531230926514,0.3999
e5_1k_m0xm1,pre,0.2,1.9239803873062133,0.3501999984264374,1.9244255073547363,0.34160000028610227
e5_1k_m0xm1,pre,0.3,2.227366706085205,0.2605999990463257,2.213825093078613,0.2700000002145767
e5_1k_m0xm1,pre,0.4,2.4474070747375487,0.21459999997615814,2.4264861728668214,0.21699999992847444
e5_1k_m0xm1,pre,0.5,2.551441044998169,0.198599999666214,2.5507594924926758,0.19819999985694886
e5_1k_m0xm1,pre,0.6,2.424040797805786,0.22919999911785124,2.414082113647461,0.22820000007152558
e5_1k_m0xm1,pre,0.7,2.057563878250122,0.323400000333786,2.0433733589172363,0.3202000000953674
e5_1k_m0xm1,pre,0.8,1.8954367509841918,0.3721999999046326,1.8827069456100465,0.37670000033378603
e5_1k_m0xm1,pre,0.9,1.8458789514541627,0.3971999981880188,1.840468689918518,0.40799999980926516
e5_1k_m0xm1,pre,1.0,1.8774675758361816,0.40580000042915343,1.8950679702758788,0.40910000028610227
e5_1k_m0xm1,post,0.0,1.7476546396255492,0.4091999984741211,1.7563696336746215,0.4117000003814697
e5_1k_m0xm1,post,0.1,1.7898493535995483,0.39019999952316287,1.7877045724868774,0.3951999998092651
e5_1k_m0xm1,post,0.2,1.9172193092346193,0.35140000047683717,1.8957492853164672,0.3627999999046326
e5_1k_m0xm1,post,0.3,2.1063048603057863,0.30999999880790713,2.0635375057220458,0.3193999999046326
e5_1k_m0xm1,post,0.4,2.2937609405517576,0.2701999988555908,2.2411746517181395,0.2822999998092651
e5_1k_m0xm1,post,0.5,2.3036145217895507,0.2599999999046326,2.288974062347412,0.25740000042915345
e5_1k_m0xm1,post,0.6,2.1870846981048584,0.2755999984741211,2.179029862976074,0.28129999985694887
e5_1k_m0xm1,post,0.7,2.0045909921646117,0.33099999918937684,2.0043708856582643,0.335699999666214
e5_1k_m0xm1,post,0.8,1.913725345993042,0.3685999991416931,1.915524528694153,0.3719999999523163
e5_1k_m0xm1,post,0.9,1.8800160322189332,0.3951999984741211,1.8943734378814698,0.3931000000476837
e5_1k_m0xm1,post,1.0,1.8729743001937866,0.41060000014305115,1.8875346740722656,0.4095000003814697
