method,test_acc,delta_vs_best_pp,delta_vs_uniform_pp,delta_vs_individuals_mean_pp,delta_vs_individuals_max_pp
best_single,0.7648000007629394,0.0,63.87000006675721,1.3340000381469763,0.0
uniform_soup,0.1261000000953674,-63.87000006675721,0.0,-62.536000028610225,-63.87000006675721
greedy_soup,0.764999999332428,0.019999856948860195,63.889999923706064,1.3539998950958365,0.019999856948860195
ties,0.1085000000476837,-65.63000007152557,-1.7600000047683695,-64.2960000333786,-65.63000007152557
