pair,alignment,alpha,train_loss,train_acc,test_loss,test_acc
E1D_pair0,pre,0.0,0.3120545277118683,0.9041999996185303,0.5176291574478149,0.8435000002861023
E1D_pair0,pre,0.1,0.3574682180404663,0.8811999963760376,0.5352793789863587,0.8276999998092651
E1D_pair0,pre,0.2,0.547544177722931,0.8183999982833863,0.6896365352630616,0.7738999998092652
E1D_pair0,pre,0.3,1.1178805393218993,0.6326,1.2003304302215576,0.6084999997138977
E1D_pair0,pre,0.4,2.507051863479614,0.257200000166893,2.4924350330352785,0.2596000001430511
E1D_pair0,pre,0.5,2.929047306060791,0.15239999960660935,2.8982191482543946,0.15379999992847443
E1D_pair0,pre,0.6,2.019712385559082,0.33799999966621397,2.0551390159606933,0.33380000019073486
E1D_pair0,pre,0.7,1.052912437438965,0.6472000004768371,1.1390448108673095,0.6198000008583069
E1D_pair0,pre,0.8,0.5400581562042236,0.8129999981880188,0.6674700249671937,0.7809000001907349
E1D_pair0,pre,0.9,0.3533319544792175,0.8813999997138977,0.5113565295219421,0.8384000005722045
E1D_pair0,pre,1.0,0.3196527641773224,0.8943999996185302,0.49154020795822145,0.847800000667572
E1D_pair0,post,0.0,0.31308904490470885,0.9039999996185303,0.5210451309204102,0.8437000005722046
E1D_pair0,post,0.1,0.3579917360305786,0.8840000000953674,0.5371640797615052,0.8333000000953674
E1D_pair0,post,0.2,0.5684328561782837,0.8207999979019165,0.7079945108413697,0.7827000000953674
E1D_pair0,post,0.3,1.0614815576553345,0.6931999980926513,1.177127611541748,0.6660000000953674
E1D_pair0,post,0.4,1.7565340169906616,0.5371999990463256,1.87386157913208,0.511
E1D_pair0,post,0.5,2.0731579765319825,0.4635999984264374,2.183309133911133,0.44889999980926515
E1D_pair0,post,0.6,1.5464445907592774,0.5647999975204467,1.6479027065277099,0.5504000004768371
E1D_pair0,post,0.7,0.9111227779388428,0.7225999970436097,1.0206538820266724,0.6997000008583069
E1D_pair0,post,0.8,0.5216652131080628,0.8275999976158142,0.653892719078064,0.7977000006675721
E1D_pair0,post,0.9,0.35772122135162354,0.8805999999046326,0.5173646897315979,0.8399000002861023
E1D_pair0,post,1.0,0.3200890693664551,0.8959999996185303,0.493532048034668,0.8461000003814697
E2_model0x2,pre,0.0,0.6915894851684571,0.7751999989509583,0.8088323461532593,0.7462000007629395
E2_model0x2,pre,0.1,0.7899813293457031,0.7388000009536743,0.8749537932395935,0.7215000003814698
E2_model0x2,pre,0.2,1.1002945810317992,0.6441999998092651,1.1420125406265258,0.6370999997138977
E2_model0x2,pre,0.3,1.6448264247894286,0.47219999899864196,1.6782450464248657,0.47410000042915346
E2_model0x2,pre,0.4,2.397561544799805,0.2914000001430512,2.426088687133789,0.28999999980926516
E2_model0x2,pre,0.5,3.1250433670043947,0.1586000000476837,3.1420693866729734,0.1669000000476837
E2_model0x2,pre,0.6,2.6721181697845457,0.2671999985694885,2.6985324237823485,0.2615000000238419
E2_model0x2,pre,0.7,1.5084011817932128,0.5425999984741211,1.567592420578003,0.5203999999523163
E2_model0x2,pre,0.8,0.9027742985725403,0.7117999969482421,1.006887617111206,0.6809
E2_model0x2,pre,0.9,0.684345672416687,0.773399999332428,0.7937203210830689,0.7462999999046326
E2_model0x2,pre,1.0,0.6362018790245056,0.7957999987602233,0.7357143630027771,0.764899999332428
E2_model0x2,post,0.0,0.6931221451759338,0.7745999990463257,0.8088605189323426,0.7451000008583069
E2_model0x2,post,0.1,0.728441013622284,0.7659999996185303,0.8367649386405945,0.7336000000953674
E2_model0x2,post,0.2,0.9037800889015197,0.7059999970436096,0.9883963878631592,0.6880000008583069
E2_model0x2,post,0.3,1.2481964336395264,0.6070000008583069,1.2981693908691405,0.5976999996185303
E2_model0x2,post,0.4,1.7090615438461303,0.5087999996185303,1.7300722063064575,0.5024999997138977
E2_model0x2,post,0.5,2.0840522062301634,0.4465999997138977,2.0884023559570313,0.43679999980926515
E2_model0x2,post,0.6,1.8908875850677491,0.4907999991416931,1.885049981880188,0.4925999997615814
E2_model0x2,post,0.7,1.2434616373062133,0.6339999999046325,1.2918784412384032,0.6178000003814698
E2_model0x2,post,0.8,0.8480687927246093,0.7309999969482421,0.9213218118667602,0.7134999997138977
E2_model0x2,post,0.9,0.6790085684776306,0.7793999989509582,0.7714280443191528,0.7543000005722046
E2_model0x2,post,1.0,0.6359986369132996,0.7927999989509582,0.7354455936431885,0.764999999332428
E2_model0x1,pre,0.0,0.6906370056152343,0.7737999990463257,0.8055823269844056,0.744899999332428
E2_model0x1,pre,0.1,0.7378247540473938,0.7550000003814697,0.8369292179107666,0.7334000008583069
