samples_per_model,uniform_soup,greedy_soup,am_repair
1000,0.10100000009536743,0.40620000038146975,0.43575000026226046
2000,0.137800000166893,0.484299999666214,0.4520999998569488
5000,0.15230000002384186,0.6438999998092652,0.565450000333786
10000,0.126200000166893,0.7660000007629395,0.6819999998807906
