i,j,cos_sim,midpoint_acc,midpoint_loss,avg_endpoint_acc,avg_endpoint_loss,accuracy_drop,loss_barrier
0,1,0.4036673307418823,0.2717000001430511,2.4379954086303712,0.7447500003814698,0.80065233502388,0.47305000023841864,1.6373430736064911
0,2,0.4648898243904114,0.1649000000476837,3.1565874786376953,0.7559,0.7708620257854462,0.5909999999523163,2.385725452852249
0,3,0.5362436771392822,0.199900000166893,2.790847919845581,0.7473500005245208,0.7909637802600861,0.5474500003576278,1.999884139585495
0,4,0.5425159335136414,0.2410999997138977,2.5917854484558105,0.7497500004768372,0.7877381016731262,0.5086500007629394,1.8040473467826843
1,2,0.3324296176433563,0.24170000002384187,2.623807767868042,0.7551499997138977,0.7665227346420288,0.5134499996900559,1.8572850332260131
1,3,0.37204697728157043,0.20819999990463256,2.776197966003418,0.7466000002384185,0.7866244891166687,0.538400000333786,1.9895734768867492
1,4,0.4542964696884155,0.2715000002145767,2.3521818267822265,0.7490000001907349,0.7833988105297089,0.47749999997615816,1.5687830162525176
2,3,0.5676867365837097,0.17909999990463257,3.295965886306763,0.7577499998569488,0.7568341798782349,0.5786499999523163,2.539131706428528
2,4,0.5298776626586914,0.19470000007152558,3.1541995830535887,0.7601499998092651,0.753608501291275,0.5654499997377396,2.4005910817623137
3,4,0.6032786965370178,0.2442,2.4652060131073,0.7516000003337859,0.773710255765915,0.507400000333786,1.691495757341385
