epoch,train_loss,train_acc,test_loss,test_acc,lr,seconds
1,2.3039972915649414,0.2526,2.0482066314697267,0.26139999966621397,0.09972609476841367,4.685326814651489
2,1.7070605659484863,0.3639,1.6745726865768433,0.40299999966621397,0.09890738003669028,4.465195178985596
3,1.5730009872436523,0.4177,1.697223229408264,0.3822999999046326,0.09755282581475767,4.525953769683838
4,1.48365695810318,0.4477,1.650471625137329,0.43049999990463256,0.09567727288213003,4.50149941444397
5,1.4068381120681763,0.4863,1.6183354001998902,0.4366999997138977,0.09330127018922194,4.485259294509888
6,1.3087284677505493,0.5185,1.7597307260513306,0.4271999999523163,0.09045084971874737,4.623337268829346
7,1.2267216470718383,0.5595,1.6934587484359742,0.4497999999523163,0.0871572412738697,4.487243175506592
8,1.1678375354766846,0.5764,1.8486886653900148,0.40690000004768373,0.0834565303179429,4.49287486076355
9,1.111525371360779,0.5996,1.2631272396087647,0.5392000004768371,0.07938926261462365,4.48186182975769
10,1.0255529258728027,0.6335,1.2225533981323242,0.572400000667572,0.07499999999999998,4.673375368118286
11,0.9749602615356445,0.6481,1.4876609172821045,0.541200000667572,0.07033683215379001,4.567399501800537
12,0.9131704087257385,0.6761,1.3975922395706177,0.5810999997138977,0.06545084971874737,4.512213706970215
13,0.8549102952957154,0.6939,1.4170827402114867,0.5768000003814697,0.06039558454088796,4.46696400642395
14,0.8202580404281616,0.7076,1.0947388473510742,0.6371000008583069,0.05522642316338268,4.498612403869629
15,0.7730802097320557,0.727,1.0739819961547852,0.645499999332428,0.05000000000000001,4.5209832191467285
16,0.7439371257781983,0.7331,1.066609034538269,0.6507000000953674,0.04477357683661733,4.429968357086182
17,0.7071912448883056,0.7485,0.8928434901237488,0.6997999994277954,0.03960441545911203,4.51607084274292
18,0.6567316909790039,0.7652,1.0033862098693849,0.6697999997138977,0.03454915028125263,4.4915266036987305
19,0.62686819896698,0.7777,0.8907328039169311,0.7153999995231628,0.02966316784621,4.470726251602173
20,0.6017838794708252,0.788,0.9753132732391357,0.6855000008583069,0.025000000000000012,4.480639696121216
21,0.5776728591918945,0.797,0.870207647228241,0.7151000005722046,0.02061073738537635,4.53353476524353
22,0.5488161805868149,0.8062,0.8313401579856873,0.7309000003814697,0.016543469682057107,4.461355447769165
23,0.5035397718906403,0.8231,0.8295290881156921,0.7322999997138977,0.012842758726130301,4.545237064361572
24,0.4890114844322205,0.8254,0.7945972524642945,0.7476000002861023,0.009549150281252635,4.47357439994812
25,0.46020731048583985,0.8359,0.8098567749023438,0.7412000003814697,0.006698729810778067,4.5598673820495605
26,0.4568739757537842,0.8407,0.7944925347328186,0.7480000001907349,0.004322727117869953,4.4738733768463135
27,0.4316166984558105,0.8505,0.7780306083679199,0.7516000000953674,0.002447174185242324,4.482861280441284
28,0.42524482822418214,0.8543,0.7788141534805297,0.7548000002861023,0.0010926199633097158,4.4367101192474365
29,0.40749644889831543,0.8597,0.7714183385848999,0.7546000005722046,0.00027390523158633,4.443825960159302
30,0.4125783582210541,0.8577,0.7726241370201111,0.7552000002861023,0.0,4.4793853759765625
