pair,epoch,train_loss,train_acc,test_loss,test_acc
E1D_pair0,1,0.9219861720657349,0.691420000038147,0.7665552158355713,0.7446999994277954
E1D_pair0,2,0.7017260966110229,0.758680000038147,0.6898148544311523,0.7653999998092651
E1D_pair0,3,0.6373857761478424,0.7792400000190735,0.6527085389137268,0.7741999999046326
E1D_pair0,4,0.6033818520736695,0.789020000038147,0.6205048726081848,0.789200000667572
E1D_pair0,5,0.5775935703086853,0.7996600000572205,0.6039895295143127,0.795100000667572
E2_model0x2,1,1.1102870042419433,0.6156600000572204,0.9493824605941772,0.6709999994277954
E2_model0x2,2,0.9121554211425781,0.67756,0.8680363532066345,0.6948000000953675
E2_model0x2,3,0.8417187458610534,0.7028400000190735,0.8263178221702576,0.7135000005722046
E2_model0x2,4,0.8045491550827026,0.7177800000572204,0.7953414967536926,0.7270999997138977
E2_model0x2,5,0.7725069110488891,0.727340000038147,0.7698060736656189,0.7313999997138977
E2_model0x1,1,1.169187956085205,0.5909800000572205,1.0041730388641357,0.6478000002861023
E2_model0x1,2,0.9540321393013,0.661020000038147,0.9184131641387939,0.6759999997138977
E2_model0x1,3,0.8845327229690552,0.6878799999809265,0.8752147618293762,0.6936000001907349
E2_model0x1,4,0.840569069480896,0.7051200000190735,0.834063851737976,0.7110000007629395
E2_model0x1,5,0.8041144479942322,0.71692,0.8042818712234497,0.7199000004768371
E2_model1x3,1,1.1879122806167604,0.5836600000572204,1.020572560119629,0.6421000003814697
E2_model1x3,2,0.9682371758842468,0.6549799999809265,0.9284008876800537,0.6730000003814697
E2_model1x3,3,0.898511404800415,0.6809800000572205,0.8837441780090332,0.6898000001907348
E2_model1x3,4,0.8550247505569458,0.69804,0.846934817314148,0.7014999997138978
E2_model1x3,5,0.8214978650093079,0.70874,0.8265544622421265,0.7128000003814697
E2_model3x4,1,1.1392536882019042,0.600520000038147,0.9665242946624756,0.6605000002861023
E2_model3x4,2,0.9537054703903198,0.6612,0.8976689909934997,0.684199999332428
E2_model3x4,3,0.8847722443962097,0.6877000000572204,0.8557604133605957,0.6981999995231628
E2_model3x4,4,0.8414338991928101,0.7045199999809265,0.8306219970703125,0.7087999998092651
E2_model3x4,5,0.8119284144973755,0.7138800000572204,0.7936710487365722,0.7194000000953674
