epoch,train_loss,train_acc,test_loss,test_acc,lr,seconds
1,1.5984202251434325,0.4279,1.3339824737548829,0.5126000002861023,0.09990133642141358,17.477424144744873
2,1.106106207256317,0.6049200000190735,1.383136194229126,0.5497999995231628,0.0996057350657239,16.147491931915283
3,0.8639223112106323,0.695980000038147,0.8715413959503174,0.7070000001907348,0.09911436253643444,16.268487453460693
4,0.7273080892944336,0.7468400000190735,0.7540111310958862,0.738800000667572,0.09842915805643154,16.591370820999146
5,0.6450623189353943,0.776020000038147,0.787847176361084,0.7389000008583069,0.09755282581475767,16.934085607528687
6,0.5878686317825318,0.7961600000572204,0.689843427658081,0.7694000002861023,0.09648882429441256,17.266438961029053
7,0.5456798282718659,0.81284,0.6325484197616578,0.7939000005722046,0.09524135262330098,17.298588752746582
8,0.5062594051933289,0.826,0.5755405490875244,0.8093000004768371,0.09381533400219318,17.185745239257812
9,0.4812655145454407,0.8336200000572205,0.5249855827331543,0.8258,0.09221639627510075,17.095041275024414
10,0.45639545518875124,0.8419199999809265,0.5985450682640076,0.8033999994277954,0.09045084971874737,17.084502696990967
11,0.4408201044464111,0.848400000038147,0.6006659478187562,0.8051000008583069,0.08852566213878946,17.19322371482849
12,0.42027334912300107,0.85332,0.5051525755882263,0.8331999994277954,0.08644843137107057,17.168009281158447
13,0.4043079110431671,0.8577000000572205,0.4977747179031372,0.836200000667572,0.08422735529643442,17.32796025276184
14,0.39032328174591063,0.8658800000572204,0.5399442528724671,0.8253000002861023,0.08187119948743447,17.391809701919556
15,0.37680008872032167,0.869800000038147,0.5288641635894775,0.8230999997138977,0.07938926261462366,17.250090837478638
16,0.36215913613319395,0.8764799999809265,0.4638877379894257,0.841599999332428,0.07679133974894982,17.229596376419067
17,0.34952495717048643,0.8789200000572205,0.5154003529548645,0.8334000007629394,0.07408768370508576,17.179248332977295
18,0.3355839679145813,0.883420000038147,0.46669005708694455,0.8517999994277954,0.07128896457825362,17.16085982322693
19,0.33051768970489503,0.884800000038147,0.4644922134399414,0.8465000002861023,0.06840622763423389,17.25651717185974
20,0.3144002026176453,0.8901200000190734,0.4390021389961243,0.8569999994277954,0.06545084971874736,17.200777053833008
21,0.3026645293331146,0.89516,0.5245093744277954,0.8355000000953674,0.06243449435824272,17.14569115638733
22,0.29101185567855836,0.8987400000190735,0.502286538028717,0.8435000002861023,0.05936906572928623,17.205761909484863
23,0.2876844226551056,0.90012,0.4444635792732239,0.8548000007629395,0.056266661678215216,17.229295015335083
24,0.2722979910755157,0.90558,0.41728960762023926,0.8665999994277954,0.053139525976465665,17.142168760299683
25,0.2666939437866211,0.9058600000381469,0.4925181290149689,0.8530000002861023,0.049999999999999996,17.19168782234192
26,0.24948615033149718,0.9117799999809265,0.4101996708869934,0.8686999997138977,0.046860474023534326,17.188593864440918
27,0.24589882371902466,0.9146200000381469,0.4084510943412781,0.8683999994277954,0.04373333832178478,17.192020177841187
28,0.229826568107605,0.9192399999809265,0.4133731159210205,0.8708000000953674,0.040630934270713764,17.156055212020874
29,0.21757135290145874,0.923260000038147,0.40151692695617675,0.8761999999046326,0.03756550564175726,17.171045541763306
30,0.21388368319511414,0.9250400000572204,0.42591373329162596,0.8728999998092651,0.03454915028125265,17.204551696777344
31,0.19802245145320893,0.931100000038147,0.3927431838035583,0.8771000004768371,0.03159377236576612,17.222020864486694
32,0.19137766934394837,0.9324599999809265,0.36606067352294924,0.8854000000953675,0.028711035421746366,17.19650173187256
33,0.17889690402507782,0.9381200000190735,0.3729994152545929,0.8884000004768372,0.025912316294914226,17.160853624343872
34,0.16799472656726838,0.9413600000572204,0.3823819161891937,0.8876999998092652,0.023208660251050155,17.26227116584778
35,0.15838510182857513,0.9445000000190735,0.4112824778556824,0.8757000003814698,0.020610737385376346,17.188080072402954
36,0.1497184438610077,0.946700000038147,0.39595947980880736,0.8806000001907348,0.01812880051256551,17.138342142105103
37,0.14253178919792175,0.9499000000190735,0.3801130874156952,0.8864000004768372,0.015772644703565562,17.169976234436035
38,0.12925680686235427,0.954760000038147,0.3563716118812561,0.8925000004768372,0.013551568628929433,17.17178702354431
39,0.12115411577224731,0.95724,0.3748431656837463,0.8885000003814697,0.011474337861210542,17.166521787643433
40,0.11542104057312012,0.95974,0.3657994882106781,0.8937000008583069,0.009549150281252632,17.23791217803955
41,0.10681984312534332,0.9631600000190735,0.3663653072834015,0.8928000001907349,0.007783603724899257,17.229506492614746
42,0.09968701335430145,0.9653600000572204,0.35852915992736817,0.8952000005722046,0.0061846659978068205,17.354291677474976
43,0.0927339779663086,0.9681200000572204,0.35641233558654783,0.8995000001907348,0.004758647376699033,17.26811385154724
44,0.08626684487819672,0.9706400000190735,0.35782340226173404,0.8987000001907348,0.0035111757055874327,17.164151906967163
45,0.08549848378181457,0.9711199999809265,0.35620887799263,0.8987000004768372,0.0024471741852423235,17.170241355895996
46,0.08420042172670364,0.9711800000572205,0.35069244542121886,0.9000000005722046,0.0015708419435684518,17.172683238983154
47,0.07803055277109146,0.9739399999809265,0.35512636885643006,0.9008000005722046,0.000885637463565564,17.145336389541626
48,0.07678320383310318,0.9744800000381469,0.354113537979126,0.900300000667572,0.00039426493427611173,17.177889108657837
49,0.07715687563657761,0.974640000038147,0.34918013968467715,0.9008000005722046,9.866357858642205e-05,17.092549324035645
50,0.07422008718967438,0.97524,0.354961811542511,0.9010000003814698,0.0,17.17008638381958
