setting,n_pairs,barrier_test_loss_mean,barrier_test_loss_std,barrier_test_acc_mean,barrier_test_acc_std
A,1,0.002355876588821415,0.0,0.0011000001907347512,0.0
B,2,2.7447765068292616,0.18271961382883362,0.6189750001311303,0.003005204410098668
D,2,2.5436905637860296,0.3183626629797482,0.7177500001609327,0.0267286359495298
