epoch,train_loss,train_acc,test_loss,test_acc,lr,seconds
1,2.2921358283996582,0.2444,1.8825987686157226,0.29569999966621396,0.09972609476841367,4.694235563278198
2,1.7244094444274902,0.36,1.879711888885498,0.33269999985694887,0.09890738003669028,4.477391481399536
3,1.570039154434204,0.4135,1.766971647644043,0.3891,0.09755282581475767,4.49937105178833
4,1.4756408319473266,0.4547,1.5435755500793458,0.43999999990463257,0.09567727288213003,4.477900743484497
5,1.3649601650238037,0.4969,1.4193370414733886,0.4856999999046326,0.09330127018922194,4.491841077804565
6,1.292788682937622,0.5313,1.4946467308044433,0.455500000333786,0.09045084971874737,4.478209972381592
7,1.2276727815628052,0.5541,1.5705986776351928,0.4821,0.0871572412738697,4.495579957962036
8,1.1525224040031432,0.5876,1.2671433841705322,0.5494000001907349,0.0834565303179429,4.445147752761841
9,1.0711911260604858,0.6132,1.37039395236969,0.5318,0.07938926261462365,4.582029581069946
10,1.034254256439209,0.6371,1.3429579372406006,0.5446000001907348,0.07499999999999998,4.67400336265564
11,0.9812140512466431,0.6512,1.3975990056991576,0.5548999999046326,0.07033683215379001,4.703885793685913
12,0.9379271060943604,0.6674,1.4608539949417114,0.5645000003814697,0.06545084971874737,4.498807430267334
13,0.8980882921218872,0.6803,1.2346554170608521,0.5812999995231628,0.06039558454088796,4.50812292098999
14,0.8565799579620361,0.7004,1.2343637920379638,0.6043000002861023,0.05522642316338268,4.465775012969971
15,0.8342389116287231,0.7057,1.197277236175537,0.6112000005722046,0.05000000000000001,4.495733737945557
16,0.792831455039978,0.7195,1.176300108909607,0.622199999332428,0.04477357683661733,4.471196174621582
17,0.7611709511756897,0.7321,0.9860944044113159,0.6689999999046325,0.03960441545911203,4.496385097503662
18,0.7263890838623047,0.7407,0.9854637130737305,0.6766999998092651,0.03454915028125263,4.552109241485596
19,0.7016910298347473,0.749,0.9428482681274414,0.6914999996185303,0.02966316784621,4.499940872192383
20,0.6770228862762451,0.7603,0.9435430274963379,0.6859000004768372,0.025000000000000012,4.525524377822876
21,0.6356692774772644,0.7753,0.8824662237167359,0.7074000003814698,0.02061073738537635,4.491482257843018
22,0.5983013605117797,0.7902,0.851659446144104,0.7213999997138977,0.016543469682057107,4.442950248718262
23,0.5887487163543701,0.7949,0.835062389755249,0.7275000000953674,0.012842758726130301,4.536273956298828
24,0.5685440979003906,0.8015,0.8641580060958862,0.7226999994277954,0.009549150281252635,4.4513208866119385
25,0.54838108959198,0.8061,0.8092427459716797,0.7386,0.006698729810778067,4.545395612716675
26,0.5201747703552246,0.8197,0.7914213804244995,0.7424000000953674,0.004322727117869953,4.4797444343566895
27,0.5027676684379577,0.8259,0.7948565100669861,0.7438999998092651,0.002447174185242324,4.448569059371948
28,0.5022158960342408,0.8223,0.776003246307373,0.7472000000953675,0.0010926199633097158,4.511233806610107
29,0.49198967781066894,0.83,0.7745554659843444,0.7500000008583069,0.00027390523158633,4.6132330894470215
30,0.4842325080871582,0.8294,0.7718523748397828,0.7513000008583068,0.0,4.496439218521118
