pair,barrier_test_loss_pre,barrier_test_loss_post,barrier_test_acc_pre,barrier_test_acc_post,midpoint_acc_pre,midpoint_acc_post,n_perms_moved
E1D_pair0,2.3936344655513766,1.6760205444335936,0.6918500005483628,0.39600000066757207,0.15379999992847443,0.44889999980926515,12
E2_model0x2,2.369796032094955,1.3162492996692658,0.5886500000000001,0.31825000028610234,0.1669000000476837,0.43679999980926515,12
E2_model0x1,1.633187902641296,1.4009644431591033,0.4705999995708466,0.36240000038146963,0.27440000014305116,0.38259999985694887,12
E2_model1x3,2.0981046077251433,1.117425414085388,0.5381500000238418,0.3207500003814697,0.21030000019073486,0.4259999997615814,12
E2_model3x4,1.6836897731304168,1.3373668358325956,0.5095500001668931,0.3413000002384185,0.24240000011920929,0.40950000014305116,12
