method,test_loss,test_acc,n_models_used,hyperparams
best_single,0.7406035332679749,0.7634000008583068,1,best_idx=2
uniform_soup,2.6136688011169436,0.126200000166893,5,
greedy_soup,0.7405851848602295,0.7660000007629395,1,included=2
ties,2.790021851348877,0.10979999994039535,5,"keep_ratio=0.2,lam=1.0"
