epoch,train_loss,train_acc,test_loss,test_acc,lr,seconds
1,1.8932325799560548,0.32812,1.8658332639694213,0.3330000001907349,0.09972609476841367,14.682015657424927
2,1.4758996160507203,0.45984000003814696,1.469472301864624,0.48310000042915346,0.09890738003669028,14.08725619316101
3,1.257188860244751,0.5442800000190735,1.4319941879272462,0.503699999666214,0.09755282581475767,14.466536521911621
4,1.096814722595215,0.6067200000190734,1.5942184940338135,0.4783000001907349,0.09567727288213003,14.408356666564941
5,0.9716125317382812,0.65416,1.0081690132141112,0.6471999999046326,0.09330127018922194,14.52609634399414
6,0.8659359175109863,0.6944000000572205,0.8689582099914551,0.6953999996185303,0.09045084971874737,14.695070266723633
7,0.7881993432617187,0.7240800000572205,0.9502862785339355,0.6809000007629394,0.0871572412738697,14.713234663009644
8,0.7188671481704711,0.7465600000572205,0.816114591884613,0.7233000002861023,0.0834565303179429,14.541237592697144
9,0.6657839641189576,0.76736,0.784218884563446,0.7364999999046326,0.07938926261462365,14.677022933959961
10,0.6215682098960876,0.7834000000572204,0.7668743440628052,0.748099999332428,0.07499999999999998,14.645387411117554
11,0.5934321485900879,0.7934000000381469,0.7073119367599487,0.7632999994277954,0.07033683215379001,14.658630609512329
12,0.5579118049049377,0.8083200000572205,0.6817968819618225,0.7673999999046326,0.06545084971874737,14.37890100479126
13,0.5244239708042144,0.81708,0.6902350700378418,0.7727000002861023,0.06039558454088796,14.337629318237305
14,0.5068707809448242,0.82368,0.7475987066268921,0.7569000000953674,0.05522642316338268,14.376837253570557
15,0.475437368183136,0.8341600000572205,0.6831064841270447,0.7822000000953674,0.05000000000000001,14.32517147064209
16,0.451445446434021,0.8406399999809265,0.6360394013404846,0.7946000008583068,0.04477357683661733,14.382028818130493
17,0.4239847985458374,0.8498400000572205,0.6137079026222229,0.798600000667572,0.03960441545911203,14.329216480255127
18,0.40463838617324827,0.8615200000190735,0.6140752570152282,0.8043,0.03454915028125263,14.138564109802246
19,0.38161475646018983,0.8662800000572205,0.6158815116882325,0.8022999996185303,0.02966316784621,13.638238430023193
20,0.36277646587371826,0.8711200000381469,0.5869008534431458,0.8070999997138977,0.025000000000000012,13.745570182800293
21,0.33923864073753357,0.8795200000190735,0.5496933110237121,0.8232000004768372,0.02061073738537635,13.897564172744751
22,0.32210924821853637,0.88776,0.5435102843284607,0.8257000000953675,0.016543469682057107,13.850701808929443
23,0.3005832299232483,0.8948800000190735,0.5288834986209869,0.8308000002861023,0.012842758726130301,14.207345962524414
24,0.2846897243404388,0.9002000000381469,0.514548344707489,0.8396000008583069,0.009549150281252635,14.333126544952393
25,0.269459046421051,0.9049199999809265,0.5135906173706055,0.8394000004768372,0.006698729810778067,14.457364797592163
26,0.25806437088012696,0.9093999999809265,0.5082248960018158,0.8432999995231628,0.004322727117869953,14.362809419631958
27,0.2516061453437805,0.9120000000190734,0.4981902041912079,0.845699999332428,0.002447174185242324,14.236966133117676
28,0.23899950287818908,0.9179200000572204,0.49770312671661376,0.846099999332428,0.0010926199633097158,14.457220315933228
29,0.2310946534538269,0.9205200000572205,0.4970669563293457,0.8480999997138977,0.00027390523158633,14.680189609527588
30,0.23123425806045533,0.92056,0.49890840129852293,0.8468999996185302,0.0,14.3664391040802
