setting,pair_seed,alpha,train_loss,train_acc,test_loss,test_acc
B,0,0.0,0.30850745558738707,0.9037999994277954,0.47800583033561705,0.8492000005722046
B,0,0.1,0.35291808171272276,0.8840000001907349,0.5158422849655151,0.8373000003814697
B,0,0.2,0.5368952094078064,0.8181999981880188,0.6807664699554443,0.784500000667572
B,0,0.3,1.1827514762878417,0.6471999989509583,1.303789133644104,0.6180999996185302
B,0,0.4,2.7472351581573484,0.3439999985218048,2.801923453903198,0.3319000000953674
B,0,0.5,3.349550727081299,0.21719999947547913,3.3633757541656495,0.224000000166893
B,0,0.6,2.3513875453948976,0.3827999997138977,2.372695849227905,0.3773000000953674
B,0,0.7,1.1870074325561524,0.6373999991416931,1.2987228212356567,0.6159999995231629
B,0,0.8,0.604426588344574,0.7953999981880188,0.7433397051811218,0.7639999999046325
B,0,0.9,0.39362570757865906,0.8700000005722046,0.5461353607654571,0.8271999997138977
B,0,1.0,0.34098554010391235,0.8891999998092651,0.5007881083488465,0.8410000008583068
B,1,0.0,0.3181432199478149,0.8977999996185303,0.5155108139514923,0.8453000004768372
B,1,0.1,0.362701433801651,0.8855999997138977,0.5451303910255432,0.8334000000953674
B,1,0.2,0.525369733285904,0.8283999963760376,0.6762194206237793,0.7892000005722046
B,1,0.3,1.0221641770362855,0.6926,1.1225901529312134,0.6594
B,1,0.4,2.2511730751037597,0.3981999984741211,2.3117422859191894,0.390699999666214
B,1,0.5,3.055311471557617,0.2373999995946884,3.1239468002319337,0.2285000002861023
B,1,0.6,2.3389726036071776,0.37320000019073485,2.36693982963562,0.374100000333786
B,1,0.7,1.2113165487289428,0.6364000002861023,1.2789447256088258,0.6229999995231629
B,1,0.8,0.5944002400398254,0.7989999988555908,0.7181267737388611,0.7738999994277954
B,1,0.9,0.3834857418060303,0.8706000005722045,0.5391777297019958,0.8276000004768371
B,1,1.0,0.3346607178688049,0.891599999332428,0.5012343288421631,0.8453999995231628
