pair,endpoint_acc_avg,pre_merge_midpoint,post_AM_midpoint,post_REPAIR_test_acc
E1D_pair0,0.8456500004768371,0.1537999999284744,0.4488999998092651,0.7653999998092651
E2_model0x2,0.7555500000476838,0.1669000000476837,0.4367999998092651,0.6948000000953675
E2_model0x1,0.7449999997138977,0.2744000001430511,0.3825999998569488,0.6759999997138977
E2_model1x3,0.7464500001907348,0.2103000001907348,0.4259999997615814,0.6730000003814697
E2_model3x4,0.7519500002861024,0.2424000001192092,0.4095000001430511,0.684199999332428
