pair,alpha,train_loss,train_acc,test_loss,test_acc
e2_model0_x_e2_model2,0.0,0.6913060377120972,0.7755999991416931,0.8064285615921021,0.7458999994277954
e2_model0_x_e2_model2,0.1,0.7961612285614014,0.737400000667572,0.8804107367515563,0.7214000004768372
e2_model0_x_e2_model2,0.2,1.1088674968719483,0.6425999999046326,1.1509323177337647,0.6362999999046326
e2_model0_x_e2_model2,0.3,1.6310219583511352,0.4739999990940094,1.6666706869125367,0.4761999997138977
e2_model0_x_e2_model2,0.4,2.4019624588012696,0.2918000000476837,2.4294167903900146,0.2888
e2_model0_x_e2_model2,0.5,3.1059298763275147,0.1594000000476837,3.121848073196411,0.1682000000476837
e2_model0_x_e2_model2,0.6,2.6802613929748533,0.26799999866485597,2.705836374282837,0.26100000011920926
e2_model0_x_e2_model2,0.7,1.5249473522186279,0.5415999983787536,1.5846168788909911,0.518700000333786
e2_model0_x_e2_model2,0.8,0.8956554180145264,0.7149999967575074,0.9991429626464844,0.6814
e2_model0_x_e2_model2,0.9,0.6877394720077514,0.7709999994277954,0.7982026280403137,0.7447999999046325
e2_model0_x_e2_model2,1.0,0.6359570510864258,0.7955999991416931,0.7374202957153321,0.763800000667572
e2_model1_x_e2_model4,0.0,0.7206165719032288,0.7681999985694885,0.7993770803451538,0.7414000000953674
e2_model1_x_e2_model4,0.1,0.7608632095336914,0.7411999997138977,0.8235386957168579,0.7258999995231629
e2_model1_x_e2_model4,0.2,0.9384981345176697,0.6787999977111816,0.9856638698577881,0.6630999999046325
e2_model1_x_e2_model4,0.3,1.486694094657898,0.5145999991416931,1.5157239730834962,0.49460000033378604
e2_model1_x_e2_model4,0.4,2.426234804916382,0.26620000004768374,2.417756107711792,0.26960000014305113
e2_model1_x_e2_model4,0.5,2.3695095630645753,0.26819999837875363,2.362408218383789,0.27250000009536746
e2_model1_x_e2_model4,0.6,1.6790447135925293,0.4429999988079071,1.6879491218566895,0.4332000000953674
e2_model1_x_e2_model4,0.7,1.1429238277435303,0.6110000004768371,1.1847415353775024,0.5975999996185303
e2_model1_x_e2_model4,0.8,0.8459342720985412,0.713200000667572,0.9081181022644043,0.6978000007629395
e2_model1_x_e2_model4,0.9,0.7138691242218017,0.7679999995231629,0.7909888092041015,0.7431000002861023
e2_model1_x_e2_model4,1.0,0.6879526328086853,0.778999999332428,0.7695143256187439,0.7547000001907349
e2_model2_x_baseline,0.0,0.6387334664344788,0.7945999989509582,0.7389916679382325,0.764299999332428
e2_model2_x_baseline,0.1,0.6821017558097839,0.7785999991416931,0.7736630158424378,0.7499000007629395
e2_model2_x_baseline,0.2,0.8417885744094848,0.7336000003814698,0.9162809415817261,0.710700000667572
e2_model2_x_baseline,0.3,1.255031923866272,0.6105999997138977,1.289347804069519,0.6005000007629394
e2_model2_x_baseline,0.4,2.4073962001800537,0.32860000014305113,2.3934886989593505,0.3331000001907349
e2_model2_x_baseline,0.5,3.1874041976928713,0.21479999957084656,3.2344815185546874,0.21029999985694886
e2_model2_x_baseline,0.6,2.0795445037841795,0.42260000014305116,2.16852477684021,0.4119000000953674
e2_model2_x_baseline,0.7,0.7475026728630066,0.763999999332428,0.9276281128883361,0.7253999995231628
e2_model2_x_baseline,0.8,0.25103280806541445,0.9103999989509582,0.4989161019325256,0.8518999998092651
e2_model2_x_baseline,0.9,0.08852050448656082,0.9667999970436096,0.37051834740638734,0.8931000007629395
e2_model2_x_baseline,1.0,0.05243755240440369,0.9820000005722046,0.35118396143913266,0.8998000003814697
