pair,test_acc_pre_repair,test_loss_pre_repair,test_acc_post_repair,test_loss_post_repair,delta_pp,repair_epochs,repair_lr
E1D_pair0,0.4492000000953674,2.188111714553833,0.7653999998092651,0.6898148544311523,31.61999997138977,2,0.001
E2_model0x2,0.4380999997138977,2.094403755569458,0.6948000000953675,0.8680363532066345,25.670000038146980,2,0.001
E2_model0x1,0.3839999998569488,2.1916455930709837,0.6759999997138977,0.9184131641387939,29.200000025749893,2,0.001
E2_model1x3,0.4258999998569489,1.9037276149749756,0.6730000003814697,0.9284008876800537,24.710000049530078,2,0.001
E2_model3x4,0.40679999985694887,2.1289599910736086,0.6841999993324280,0.8976689909934997,27.740000047683716,2,0.001
