model_idx,tau_norm_l2,theta_base_norm_l2,rel_norm
0,155.4688720703125,135.92539978027344,1.143780870401202
1,196.29652404785156,135.92539978027344,1.4441489549794921
2,134.39334106445312,135.92539978027344,0.988728679714778
3,153.8533172607422,135.92539978027344,1.1318952712991805
4,125.90447998046875,135.92539978027344,0.9262763264555136
