model_idx,test_loss,test_acc,test_acc_metadata
0,0.8062420963287353,0.7482000007629395,0.7487999994277954
1,0.7972477941513062,0.7435999998092652,0.7430999997138977
2,0.7365436065673828,0.7654000008583068,0.766400000667572
3,0.7745921320915222,0.7487000004768372,0.7513000008583068
4,0.7697041040420532,0.7540000003814697,0.7552000002861023
