epoch,train_loss,train_acc,test_loss,test_acc,lr,seconds
1,2.318759870529175,0.2446,1.826410597229004,0.30959999985694886,0.09972609476841367,5.109480857849121
2,1.7539902183532714,0.3474,1.8259550649642944,0.35719999995231627,0.09890738003669028,4.384507179260254
3,1.633709740447998,0.3931,1.7191550462722778,0.37970000004768373,0.09755282581475767,4.427996635437012
4,1.5218941614151,0.4415,1.7206383207321168,0.38760000038146974,0.09567727288213003,4.37395453453064
5,1.415076173210144,0.4839,1.4524788579940795,0.47620000009536745,0.09330127018922194,4.415031433105469
6,1.3241345993041993,0.5186,1.7334300579071045,0.4391000002861023,0.09045084971874737,4.434066295623779
7,1.2471305204391478,0.5468,1.3879051233291626,0.5007000004291534,0.0871572412738697,4.496677875518799
8,1.1595431663513183,0.58,2.3479186416625977,0.35589999976158143,0.0834565303179429,4.451198577880859
9,1.1283619094848634,0.5993,1.550753775024414,0.5166999996662139,0.07938926261462365,4.459608554840088
10,1.0322738214492797,0.6256,1.6259785837173462,0.49989999985694883,0.07499999999999998,4.4783852100372314
11,0.9763515518188477,0.6522,1.4594227554321288,0.5407000000476837,0.07033683215379001,4.594036340713501
12,0.9441341894149781,0.6593,1.1297577518463136,0.6222999998092651,0.06545084971874737,4.623584508895874
13,0.8876792518615723,0.6812,1.4863818452835083,0.5529000003337861,0.06039558454088796,4.434797048568726
14,0.8201860919952393,0.7109,1.3084013683319091,0.5910000001907348,0.05522642316338268,4.486327886581421
15,0.7926226411819458,0.7168,1.251722838973999,0.5961999996185303,0.05000000000000001,4.544588088989258
16,0.7473586511611938,0.7306,1.1904165353775025,0.6181000008583069,0.04477357683661733,4.522238731384277
17,0.7113406648635864,0.7504,0.9833598230361938,0.6802999995231629,0.03960441545911203,4.5314717292785645
18,0.6875889537811279,0.7544,0.9169763275146484,0.6933000007629394,0.03454915028125263,4.491900682449341
19,0.6410411874771118,0.774,0.9447886001586914,0.6896000001907349,0.02966316784621,4.416475534439087
20,0.5943937324523926,0.789,0.964231328201294,0.6904000004768371,0.025000000000000012,4.431814670562744
21,0.573520721578598,0.795,0.9258627599716186,0.7065000007629395,0.02061073738537635,4.453282117843628
22,0.5431948272705078,0.8097,0.9296275913238525,0.7055000002861023,0.016543469682057107,4.415329217910767
23,0.5109673309326171,0.8203,0.8849983051300049,0.7252,0.012842758726130301,4.486509323120117
24,0.49605161228179934,0.8219,0.8495931253433228,0.7253000002861023,0.009549150281252635,4.4797351360321045
25,0.47150020866394043,0.8372,0.8081150535583496,0.7434000005722046,0.006698729810778067,4.461556673049927
26,0.43494805850982665,0.8507,0.8156925401687622,0.7403000007629394,0.004322727117869953,4.460151195526123
27,0.4220883904933929,0.8545,0.8172836951255799,0.7439000003814698,0.002447174185242324,4.568248271942139
28,0.4277655990600586,0.8447,0.807252394104004,0.7459000008583069,0.0010926199633097158,4.43583607673645
29,0.40034140672683716,0.8622,0.8079076489448548,0.7451000005722046,0.00027390523158633,4.500470399856567
30,0.40183476390838624,0.8602,0.8015981353759766,0.7487999994277954,0.0,4.4989097118377686
